book_id,isbn10,isbn13,title,category
683,0132869500,9780132869508,Ownership Series: Ownership: Accountability,Student Success
922,0133043606,9780133043600,Management,Business
613,0133011208,9780133011203,Business Math,Business
614,020588539X,9780205885398,Writing for Life: Sentences and Paragraphs,Student Success
980,013610827X,9780136108276,Hands-On Database,Computer Science
627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
905,0133117413,9780133117417,Horngren's Accounting,Business
698,0136157394,9780136157397,Global Marketing Management,Business
682,0132666790,9780132666794,Essentials of Entrepreneurship and Small Business Management,Business
682,0132666790,9780132666794,Essentials of Entrepreneurship and Small Business Management,Business
550,0321829174,9780321829177,Literature for Composition,English
678,0133074676,9780133074673,Marketing Research,Business
690,0133255573,9780133255577,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
922,0133043606,9780133043600,Management,Business
893,0133043592,9780133043594,Manager's Bookshelf,Business
638,0133378713,9780133378719,C++ How to Program (Early Objects Version),Computer Science
925,013297133X,9780132971331,Guide to Managerial Communication,Business
958,0132991330,9780132991339,Macroeconomics,Economics
546,0205235778,9780205235773,The Curious Writer,English
486,0321880129,9780321880123,Intermediate Algebra,Mathematics
690,0133255573,9780133255577,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
981,013610066X,9780136100669,Business Intelligence,Business
551,0205902278,9780205902279,Literature and the Writing Process,English
632,0321848748,9780321848741,Elementary and Intermediate Algebra: Concepts & Applications,Mathematics
927,0133062120,9780133062120,International Management: Text and Cases,Business
486,0321880129,9780321880123,Intermediate Algebra,Mathematics
627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
924,0133022927,9780133022926,The Economics of Sports,Economics
976,0132992817,9780132992817,"The Economics of Women, Men and Work",Economics
951,0132992477,9780132992473,Corporate Finance,Business
564,0205578063,9780205578061,Read to Achieve: Gateway to Academic Reading,Student Success
919,0132970759,9780132970754,MIS Essentials,Business
553,0205883052,9780205883059,"The Prentice Hall Guide for College Writers, Brief Edition",English
583,032180709X,9780321807090,John E. Freund's Mathematical Statistics with Applications,Statistics
633,0321848837,9780321848833,Brief Calculus & Its Applications,Mathematics
627,0321872185,9780321872180,Intermediate Algebra 10,Mathematics
914,0133029670,9780133029673,Using MIS,Business
567,0321906365,9780321906366,"Writing and Reading Across the Curriculum, Brief Edition",English
590,0132898357,9780132898355,Mathematics for Business,Business
610,0321860470,9780321860477,Cornerstones for College Success,Student Success
704,0133354857,9780133354850,Fundamentals of Communication Systems,Engineering
686,0132869063,9780132869065,Ownership Series: Ownership: Study Strategies,Student Success
642,0321845862,9780321845863,Developmental Mathematics,Mathematics
784,0133254429,9780133254426,Mechanics of Materials,Engineering
636,0321795911,9780321795915,Trigonometry,Mathematics
949,0132992280,9780132992282,Macroeconomics,Economics
696,0133140512,9780133140514,Entrepreneurial Finance,Business
957,0132992914,9780132992916,Principles of Risk Management and Insurance,Business
909,0133077543,9780133077544,Management: A Focus on Leaders,Business
583,032180709X,9780321807090,John E. Freund's Mathematical Statistics with Applications,Statistics
607,0133083500,9780133083507,Basic Technical Mathematics,Mathematics
959,0133251039,9780133251036,Introduction to Financial Accounting,Business
563,0321880943,9780321880949,The Necessary Shakespeare,English
909,0133077543,9780133077544,Management: A Focus on Leaders,Business
785,0132974401,9780132974400,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",Business
609,0205850251,9780205850259,"Writing for Life: Paragraphs and Essays, 3E",Student Success
701,013267145X,9780132671453,Adaptive Filter Theory,Engineering
692,0133354695,9780133354690,Cryptography and Network Security: Principles and Practice,Computer Science
